Idp,Vel:0,Vel:1,Vel:2,Rhop,Type,Mk,Points:0,Points:1,Points:2
379,0,0,0,1000,0,11,-0.5,0,0.9475
380,0,0,0,1000,0,11,-0.5,0,0.95
381,0,0,0,1000,0,11,-0.5,0,0.9525
382,0,0,0,1000,0,11,-0.5,0,0.955
383,0,0,0,1000,0,11,-0.5,0,0.9575
384,0,0,0,1000,0,11,-0.5,0,0.96
385,0,0,0,1000,0,11,-0.5,0,0.9625
386,0,0,0,1000,0,11,-0.5,0,0.965
387,0,0,0,1000,0,11,-0.5,0,0.9675
388,0,0,0,1000,0,11,-0.5,0,0.97
389,0,0,0,1000,0,11,-0.5,0,0.9725
390,0,0,0,1000,0,11,-0.5,0,0.975
391,0,0,0,1000,0,11,-0.5,0,0.9775
392,0,0,0,1000,0,11,-0.5,0,0.98
393,0,0,0,1000,0,11,-0.5,0,0.9825
394,0,0,0,1000,0,11,-0.5,0,0.985
395,0,0,0,1000,0,11,-0.5,0,0.9875
396,0,0,0,1000,0,11,-0.5,0,0.99
397,0,0,0,1000,0,11,-0.5,0,0.9925
398,0,0,0,1000,0,11,-0.5,0,0.995
399,0,0,0,1000,0,11,-0.5,0,0.9975
400,0,0,0,1000,0,11,-0.4975,0,0
401,0,0,0,1000,0,11,-0.495,0,0
402,0,0,0,1000,0,11,-0.4925,0,0
403,0,0,0,1000,0,11,-0.49,0,0
404,0,0,0,1000,0,11,-0.4875,0,0
405,0,0,0,1000,0,11,-0.485,0,0
406,0,0,0,1000,0,11,-0.4825,0,0
407,0,0,0,1000,0,11,-0.48,0,0
408,0,0,0,1000,0,11,-0.4775,0,0
409,0,0,0,1000,0,11,-0.475,0,0
410,0,0,0,1000,0,11,-0.4725,0,0
411,0,0,0,1000,0,11,-0.47,0,0
412,0,0,0,1000,0,11,-0.4675,0,0
413,0,0,0,1000,0,11,-0.465,0,0
414,0,0,0,1000,0,11,-0.4625,0,0
415,0,0,0,1000,0,11,-0.46,0,0
416,0,0,0,1000,0,11,-0.4575,0,0
417,0,0,0,1000,0,11,-0.455,0,0
418,0,0,0,1000,0,11,-0.4525,0,0
419,0,0,0,1000,0,11,-0.45,0,0
420,0,0,0,1000,0,11,-0.4475,0,0
421,0,0,0,1000,0,11,-0.445,0,0
422,0,0,0,1000,0,11,-0.4425,0,0
423,0,0,0,1000,0,11,-0.44,0,0
424,0,0,0,1000,0,11,-0.4375,0,0
425,0,0,0,1000,0,11,-0.435,0,0
426,0,0,0,1000,0,11,-0.4325,0,0
427,0,0,0,1000,0,11,-0.43,0,0
428,0,0,0,1000,0,11,-0.4275,0,0
429,0,0,0,1000,0,11,-0.425,0,0
430,0,0,0,1000,0,11,-0.4225,0,0
431,0,0,0,1000,0,11,-0.42,0,0
432,0,0,0,1000,0,11,-0.4175,0,0
433,0,0,0,1000,0,11,-0.415,0,0
434,0,0,0,1000,0,11,-0.4125,0,0
